id,code,song,album
82,1100,The Itsy Bitsy Spider,Do You Like Broccoli Ice Cream & More Kids Songs
83,1102,Hello Hello,Do You Like Broccoli Ice Cream & More Kids Songs
84,1103,Walking In The Jungle,Do You Like Broccoli Ice Cream & More Kids Songs
85,1120,Who Took The Cookie,Do You Like Broccoli Ice Cream & More Kids Songs
86,1122,Do You Like Spaghetti Yogurt,Do You Like Broccoli Ice Cream & More Kids Songs
87,1123,Rock Scissors Paper #1,Do You Like Broccoli Ice Cream & More Kids Songs
88,1130,The Shape Song #1,Do You Like Broccoli Ice Cream & More Kids Songs
89,1132,I Have A Pet,Do You Like Broccoli Ice Cream & More Kids Songs
90,1133,Head Shoulders Knees & Toes (Speeding Up),Do You Like Broccoli Ice Cream & More Kids Songs
91,1200,Let's Go To The Zoo,Do You Like Broccoli Ice Cream & More Kids Songs
92,1201,Hide & Seek,Do You Like Broccoli Ice Cream & More Kids Songs
93,1202,The Shape Song #2,Do You Like Broccoli Ice Cream & More Kids Songs
94,1210,Wag Your Tail,Do You Like Broccoli Ice Cream & More Kids Songs
95,1212,We All Fall Down,Do You Like Broccoli Ice Cream & More Kids Songs
96,1213,10 Little Airplanes,Do You Like Broccoli Ice Cream & More Kids Songs
97,1220,Rock Scissors Paper #2,Do You Like Broccoli Ice Cream & More Kids Songs
98,1221,How's The Weather,Do You Like Broccoli Ice Cream & More Kids Songs
99,1223,Uh-huh,Do You Like Broccoli Ice Cream & More Kids Songs
100,1231,Bye Bye Goodbye,Do You Like Broccoli Ice Cream & More Kids Songs
101,1232,
102,1233,
103,1300,
104,1301,
105,1303,
106,1310,
107,1312,
108,1313,
109,1321,
110,1322,
111,1323,
112,1330,
113,1331,
114,1332,
115,2001,
116,2002,
117,2003,
118,2010,
119,2011,
120,2012,
121,2020,
122,2021,
123,2023,
124,2030,
125,2032,
126,2033,
127,2100,
128,2101,
129,2102,
130,2110,
131,2112,
132,2113,
133,2120,
134,2121,
135,2123,
136,2131,
137,2132,
138,2133,
139,2200,
140,2201,
141,2203,
142,2210,
143,2211,
144,2213,
145,2230,
146,2231,
147,2233,
148,2300,
149,2302,
150,2303,
151,2311,
152,2312,
153,2313,
154,2320,
155,2321,
156,2323,
157,2330,
158,2331,
159,2332,
160,3001,
161,3002,
162,3003,
163,3010,
164,3011,
165,3013,
166,3020,
167,3022,
168,3023,
169,3030,
170,3031,
171,3032,
172,3100,
173,3101,
174,3103,
175,3110,
176,3112,
177,3113,
178,3121,
179,3122,
180,3123,
181,3130,
182,3131,
183,3132,
184,3200,
185,3202,
186,3203,
187,3211,
188,3212,
189,3213,
190,3220,
191,3221,
192,3223,
193,3230,
194,3231,
195,3232,
196,3300,
197,3301,
198,3302,
199,3310,
200,3311,
201,3312,
202,3320,
203,3321,
204,3322,
205,0001,
206,0002,
207,0003,
208,0010,
209,0020,
210,0030,
211,0100,
212,0111,
213,0200,
214,0222,
215,0300,
216,0333,
217,1000,
218,1011,
219,1101,
220,1110,
221,1112,
222,1113,
223,1121,
224,1131,
225,1211,
226,1222,
227,1311,
228,1333,
229,2000,
230,2022,
231,2111,
232,2122,
233,2202,
234,2212,
235,2220,
236,2221,
237,2223,
238,2232,
239,2322,
240,2333,
241,3000,
242,3033,
243,3111,
244,3133,
245,3222,
246,3233,
247,3303,
248,3313,
249,3323,
250,3330,
251,3331,
252,3332,
253,0000,
254,1111,
255,2222,
256,3333,
